"2025-08-16","185.177.72.12","France","HTTP","/tmp/.aws/.keys-session.json"
"2025-08-16","185.177.72.12","France","HTTP","/.aws/.backup/private-config.env"
"2025-08-16","185.177.72.12","France","HTTP","/aws-cache/aws-temp-keys.json"
"2025-08-16","185.177.72.12","France","HTTP","/.aws-backup/aws-env-bak.json"
"2025-08-16","185.177.72.12","France","HTTP","/assets/config/.aws-keys.js"
"2025-08-16","185.177.72.12","France","HTTP","/frontend/.aws-tokens.json"
"2025-08-16","185.177.72.12","France","HTTP","/js/aws/keys.json"
"2025-08-16","185.177.72.12","France","HTTP","/js/config/.aws-cache.env"
"2025-08-16","185.177.72.12","France","HTTP","/js/env/aws.json"
"2025-08-16","185.177.72.12","France","HTTP","/aws/private/.secure-session.env"
"2025-08-16","185.177.72.12","France","HTTP","/aws/.keys/.temp-credentials.json"
"2025-08-16","185.177.72.12","France","HTTP","/.aws-backup/.private-session.env"
"2025-08-16","185.177.72.12","France","HTTP","/.hidden/aws/.session-tokens.json"
"2025-08-16","185.177.72.12","France","HTTP","/aws/.hidden/aws-temp-cache.json"
"2025-08-16","185.177.72.12","France","HTTP","/apache2/apache2.conf"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/nginx.conf"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/sites-enabled/default"
"2025-08-16","185.177.72.12","France","HTTP","/apache2/conf/httpd.conf"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/conf.d/default.conf"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/ssl.conf"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/default.conf"
"2025-08-16","185.177.72.12","France","HTTP","/etc/nginx/nginx.conf"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/conf/nginx.backup"
"2025-08-16","185.177.72.12","France","HTTP","/apache2/conf/extra/httpd-ssl.conf"
"2025-08-16","185.177.72.12","France","HTTP","/apache2/extra/httpd-vhosts.conf"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/cache/nginx-keys.conf"
"2025-08-16","185.177.72.12","France","HTTP","/apache2/logs/error.log"
"2025-08-16","185.177.72.12","France","HTTP","/nginx/logs/error.log"
"2025-08-16","185.177.72.12","France","HTTP","/apache2/logs/access.log"
