"2026-01-15","94.231.206.204","China","TCP","\u0016\u0003\u0003\u0001\ufffd\u0001\u0000\u0001\ufffd\u0003\u0003\ufffdR%\ufffdq\"\ufffd\ufffdo\ufffdJ\ufffdĺ1!\ufffd'\u0012 \ufffdL\u001a\ufffdӫ\ufffd#ҋ\ufffd\ufffd \ufffd\ufffd\ufffdˑ\ufffd\u0019\ufffd'M\ufffd\ufffd0\u000f \ufffd\ufffd\u000e\ufffd\ufffd\u0026+\ufffd̙)9+\n\ufffd\ufffd\ufffd\u0000\ufffd\u0000\u0016\u00003\u0000g\ufffd\ufffd\ufffd\ufffd\u0000\ufffd\u00009\u0000k\ufffd\ufffd\ufffd\ufffd\u0000\ufffd\u0000E\u0000\ufffd\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd\u0008\ufffd\t\ufffd#\ufffd\ufffd\ufffd\ufffd\ufffd+\ufffd\n\ufffd$\ufffd\ufffd\ufffd\ufffd\ufffd
"2026-01-15","167.172.153.65","United States","TCP","\u0000\u0000\u0000\ufffd\ufffdSMBr\u0000\u0000\u0000\u0000\u0008\u0001@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0006\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0002PC NETWORK PROGRAM 1.0\u0000\u0002MICROSOFT NETWORKS 1.03\u0000\u0002MICROSOFT NETWORKS 3.0\u0000\u0002LANMAN1.0\u0000\u0002LM1.2X002\u0000\u0002Samba\u0000\u0002NT LANMAN 1.0\u0000\u0002NT LM 0.12\u0000"
"2026-01-15","167.172.153.65","United States","TCP","l\u0000\u000b\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-01-15","167.172.153.65","United States","TCP","OPTIONS sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: \u003csip:nm@nm\u003e;tag=root\r\nTo: \u003csip:nm2@nm2\u003e\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: \u003csip:nm@nm\u003e\r\nAccept: application/sdp\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\u0012yW\u0019\ufffd=T\ufffd\ufffd\ufffdL\ufffd\u0005\ufffdŹJ\t\ufffdf4\ufffdq\ufffd4\ufffdEi\ufffd\ufffd5\ufffd \ufffdDq~\ufffdx\ufffd\ufffd\ufffd\ufffdR\u0015Cn\u0016\ufffd\ufffd]\u0015\ufffd\ufffd\ufffd\ufffd\ufffd0\u0026\ufffd\u0011\ufffd!\ufffd\u0000\u0000\u0026\ufffd+\ufffd/\ufffd
"2026-01-15","159.223.179.49","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","159.223.179.49","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","157.230.230.48","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (compatible; Odin; https://docs.getodin.com/)\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","157.230.230.48","United States","TCP","\u0016\u0003\u0001\u0001$\u0001\u0000\u0001 \u0003\u0003\u0013\ufffd\ufffd\ufffd؀\ufffd\ufffdv\ufffd\n\u0007`\ufffd\ufffd\u003c\ufffdܸ|Q\ufffdPN\u000c\u0018\ufffd\ufffdS\ufffd*} \ufffd\ufffd\ufffdv\u0000y!v}G\ufffdn\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\"\ufffd\ufffd\u0012\ufffdp\ufffdj\u0017\\\ufffdӚ\u0000\u003e\u0013\u0002\u0013\u0003\u0013\u0001\ufffd
"2026-01-15","24.199.89.247","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffdo\ufffd\ufffd\ufffd\u001e\ufffdN\ufffd\ufffd}\ufffd\ufffd\u0013}\ufffdp)[\ufffd\ufffd\ufffd\ufffdܦ\ufffdb\ufffd\ufffd\ufffd\u00160 \ufffdͮd\ufffdc9\ufffdy\ufffdac\ufffd/\ufffd\ufffd\ufffd\ufffd)\ufffd:\u0011\ufffddl$*\ufffdGӗ\ufffd\u0000\u0026\ufffd+\ufffd/\ufffd
"2026-01-15","159.223.179.49","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","157.230.230.48","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003V\ufffd\ufffdR\ufffd\ufffd\u0003Ixn_\ufffd\ufffd@\u0016\ufffdT\ufffd\ufffd\u003cu\ufffd_\ufffd\ufffdNf\u000c\ufffd\ufffd\ufffd\ufffd\u0000\u0000P\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\ufffd$\ufffd#\ufffd\u0008\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd(\ufffd'̨̩̪\u0000k\u0000g\u00009\u00003\u0000\u0016\u0000=\u0000\u003c\u0000\u0004\u0000\u0014\u0000\ufffd\u0000\u0015\ufffd
"2026-01-15","159.223.179.49","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","159.223.179.49","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","159.223.179.49","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","24.199.89.247","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2026-01-15","20.106.33.119","United States","TCP","MGLNDD_108.174.54.75_3306\n"
